batsman,date,runs,rolling_avg_runs
A Ashish Reddy,2012-04-29,66,66.0
A Ashish Reddy,2012-04-29,66,66.0
A Ashish Reddy,2012-04-29,66,66.0
A Ashish Reddy,2012-04-29,67,66.25
A Ashish Reddy,2012-04-29,74,67.8
A Ashish Reddy,2012-04-29,81,70.8
A Ashish Reddy,2012-04-29,81,73.8
A Ashish Reddy,2012-04-29,82,77.0
A Ashish Reddy,2012-04-29,82,80.0
A Ashish Reddy,2012-04-29,82,81.6
A Ashish Reddy,2012-05-20,128,91.0
A Ashish Reddy,2012-05-20,129,100.6
A Ashish Reddy,2012-05-20,130,110.2
A Ashish Reddy,2012-05-20,132,120.2
A Ashish Reddy,2012-05-20,132,130.2
A Ashish Reddy,2013-04-05,114,127.4
A Ashish Reddy,2013-04-05,119,125.4
A Ashish Reddy,2013-04-05,124,124.2
A Ashish Reddy,2013-04-05,125,122.8
A Ashish Reddy,2013-04-09,143,125.0
A Ashish Reddy,2013-04-09,147,131.6
A Ashish Reddy,2013-04-09,155,138.8
A Ashish Reddy,2013-04-09,155,145.0
A Ashish Reddy,2013-04-17,76,135.2
A Ashish Reddy,2013-04-17,79,122.4
A Ashish Reddy,2013-04-17,81,109.2
A Ashish Reddy,2013-04-17,82,94.6
A Ashish Reddy,2013-04-17,83,80.2
A Ashish Reddy,2013-04-17,84,81.8
A Ashish Reddy,2013-04-17,86,83.2
A Ashish Reddy,2013-04-17,86,84.2
A Ashish Reddy,2013-04-17,87,85.2
A Ashish Reddy,2013-04-17,89,86.4
A Ashish Reddy,2013-04-17,95,88.6
A Ashish Reddy,2013-04-17,96,90.6
A Ashish Reddy,2013-04-17,103,94.0
A Ashish Reddy,2013-04-17,104,97.4
A Ashish Reddy,2013-04-17,107,101.0
A Ashish Reddy,2013-04-25,99,101.8
A Ashish Reddy,2013-04-25,100,102.6
A Ashish Reddy,2013-04-25,101,102.2
A Ashish Reddy,2013-04-25,112,103.8
A Ashish Reddy,2013-04-25,112,104.8
A Ashish Reddy,2013-04-25,115,108.0
A Ashish Reddy,2013-04-25,116,111.2
A Ashish Reddy,2013-04-25,118,114.6
A Ashish Reddy,2013-04-25,132,118.6
A Ashish Reddy,2013-04-25,133,122.8
A Ashish Reddy,2013-04-25,145,128.8
A Ashish Reddy,2013-04-25,149,135.4
A Ashish Reddy,2013-04-25,149,141.6
