bowler,date,wickets,rolling_avg_wickets
A Ashish Reddy,2012-05-04,2,2.0
A Ashish Reddy,2012-05-04,2,2.0
A Ashish Reddy,2012-05-04,2,2.0
A Ashish Reddy,2012-05-04,2,2.0
A Ashish Reddy,2012-05-04,2,2.0
A Ashish Reddy,2012-05-04,2,2.0
A Ashish Reddy,2012-05-04,2,2.0
A Ashish Reddy,2012-05-04,4,2.4
A Ashish Reddy,2012-05-04,4,2.8
A Ashish Reddy,2012-05-04,4,3.2
A Ashish Reddy,2012-05-04,5,3.8
A Ashish Reddy,2012-05-04,5,4.4
A Ashish Reddy,2012-05-04,5,4.6
A Ashish Reddy,2012-05-08,1,4.0
A Ashish Reddy,2012-05-08,1,3.4
A Ashish Reddy,2012-05-08,1,2.6
A Ashish Reddy,2012-05-08,2,2.0
A Ashish Reddy,2012-05-08,2,1.4
A Ashish Reddy,2012-05-08,2,1.6
A Ashish Reddy,2012-05-08,2,1.8
A Ashish Reddy,2012-05-08,3,2.2
A Ashish Reddy,2012-05-08,3,2.4
A Ashish Reddy,2012-05-08,3,2.6
A Ashish Reddy,2012-05-08,3,2.8
A Ashish Reddy,2012-05-08,3,3.0
A Ashish Reddy,2012-05-08,3,3.0
A Ashish Reddy,2012-05-08,3,3.0
A Ashish Reddy,2012-05-08,3,3.0
A Ashish Reddy,2012-05-08,4,3.2
A Ashish Reddy,2012-05-08,4,3.4
A Ashish Reddy,2012-05-08,4,3.6
A Ashish Reddy,2012-05-08,4,3.8
A Ashish Reddy,2012-05-08,5,4.2
A Ashish Reddy,2012-05-08,5,4.4
A Ashish Reddy,2012-05-08,5,4.6
A Ashish Reddy,2012-05-08,5,4.8
A Ashish Reddy,2012-05-08,5,5.0
A Ashish Reddy,2012-05-08,5,5.0
A Ashish Reddy,2012-05-18,3,4.6
A Ashish Reddy,2012-05-18,3,4.2
A Ashish Reddy,2012-05-18,3,3.8
A Ashish Reddy,2012-05-18,3,3.4
A Ashish Reddy,2012-05-18,3,3.0
A Ashish Reddy,2012-05-18,3,3.0
A Ashish Reddy,2012-05-18,4,3.2
A Ashish Reddy,2012-05-18,4,3.4
A Ashish Reddy,2012-05-18,4,3.6
A Ashish Reddy,2012-05-18,4,3.8
A Ashish Reddy,2012-05-18,4,4.0
A Ashish Reddy,2012-05-18,4,4.0
A Ashish Reddy,2013-04-07,3,3.8
A Ashish Reddy,2013-04-07,3,3.6
A Ashish Reddy,2013-04-07,3,3.4
A Ashish Reddy,2013-04-07,3,3.2
A Ashish Reddy,2013-04-07,3,3.0
A Ashish Reddy,2013-04-07,4,3.2
A Ashish Reddy,2013-04-14,1,2.8
A Ashish Reddy,2013-04-14,1,2.4
A Ashish Reddy,2013-04-14,1,2.0
A Ashish Reddy,2013-04-14,1,1.6
A Ashish Reddy,2013-04-14,1,1.0
A Ashish Reddy,2013-04-14,1,1.0
A Ashish Reddy,2013-04-14,1,1.0
A Ashish Reddy,2013-04-14,1,1.0
A Ashish Reddy,2013-04-14,1,1.0
A Ashish Reddy,2013-04-14,2,1.2
A Ashish Reddy,2013-04-14,2,1.4
A Ashish Reddy,2013-04-14,2,1.6
A Ashish Reddy,2015-04-13,4,2.2
A Ashish Reddy,2015-04-13,4,2.8
A Ashish Reddy,2015-04-13,4,3.2
A Ashish Reddy,2015-04-13,4,3.6
A Ashish Reddy,2015-04-13,4,4.0
A Ashish Reddy,2015-04-13,5,4.2
A Ashish Reddy,2015-04-18,1,3.6
A Ashish Reddy,2015-04-18,1,3.0
A Ashish Reddy,2015-04-18,1,2.4
A Ashish Reddy,2015-04-18,1,1.8
A Ashish Reddy,2015-04-18,1,1.0
A Ashish Reddy,2015-04-18,1,1.0
A Ashish Reddy,2015-04-18,1,1.0
A Ashish Reddy,2015-04-18,4,1.6
A Ashish Reddy,2015-04-18,4,2.2
A Ashish Reddy,2015-04-18,4,2.8
A Ashish Reddy,2015-04-18,4,3.4
A Ashish Reddy,2015-04-18,4,4.0
A Ashish Reddy,2015-04-18,4,4.0
A Ashish Reddy,2016-04-12,1,3.4
A Ashish Reddy,2016-04-12,1,2.8
A Ashish Reddy,2016-04-12,1,2.2
A Ashish Reddy,2016-04-12,1,1.6
A Ashish Reddy,2016-04-12,1,1.0
A Ashish Reddy,2016-04-12,1,1.0
A Ashish Reddy,2016-04-12,1,1.0
A Ashish Reddy,2016-04-12,1,1.0
A Ashish Reddy,2016-04-12,1,1.0
A Ashish Reddy,2016-04-12,1,1.0
A Ashish Reddy,2016-04-12,1,1.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,0,0.0
A Chandila,2012-04-23,2,0.4
A Chandila,2012-04-23,2,0.8
A Chandila,2012-04-23,2,1.2
A Chandila,2012-04-23,2,1.6
A Chandila,2012-04-23,2,2.0
A Chandila,2012-04-23,2,2.0
A Chandila,2012-04-23,3,2.2
A Chandila,2012-04-23,3,2.4
A Chandila,2012-04-23,3,2.6
A Chandila,2012-04-23,3,2.8
A Chandila,2012-04-23,3,3.0
A Chandila,2012-04-23,3,3.0
A Chandila,2013-04-14,0,2.4
