Player,Team,Mat,Inns,NO,Runs,Avg,SR,100s,50s,Bowl_Inns,Overs,Wkts,Bowl_Avg,Econ,BBI,4w,5w
Virat Kohli,India,302,290,45,14181,57.88,93.61,51,74,53,112.2,5,136.0,6.05,Jan-13,0,0
Rohit Sharma,India,262,256,34,10709,49.12,91.97,31,55,43,88.5,9,64.88,6.57,Feb-27,0,0
Shubman Gill,India,55,55,8,2775,59.04,104.73,8,15,0,0.0,0,0.0,0.0,0,0,0
KL Rahul,India,75,66,11,2624,47.71,88.24,6,17,3,20.0,1,100.0,5.0,01-Mar,0,0
Shreyas Iyer,India,60,55,6,2377,48.51,95.69,4,17,0,0.0,0,0.0,0.0,0,0,0
Suryakumar Yadav,India,37,34,4,773,25.76,105.31,0,4,0,0.0,0,0.0,0.0,0,0,0
Ishan Kishan,India,27,23,2,933,44.42,101.86,1,7,0,0.0,0,0.0,0.0,0,0,0
Hardik Pandya,India,92,74,13,1758,28.82,93.04,0,11,66,493.1,84,38.54,6.56,Mar-31,0,0
Ravindra Jadeja,India,197,123,41,2756,32.39,84.94,0,13,172,1521.1,220,36.05,4.92,May-36,1,1
Axar Patel,India,59,33,11,471,21.41,106.79,0,2,54,485.5,66,31.92,4.33,Mar-24,0,0
Kuldeep Yadav,India,103,20,10,153,15.3,69.55,0,0,101,912.5,168,27.69,5.1,Jun-25,1,2
Mohammed Shami,India,101,20,9,175,15.91,87.06,0,0,100,850.4,195,25.75,5.62,May-69,1,1
Mohammed Siraj,India,41,7,5,29,14.5,74.35,0,0,41,343.5,70,23.85,5.1,Jun-21,1,1
Jasprit Bumrah,India,89,16,9,48,9.6,49.48,0,0,89,778.0,149,24.31,4.64,Jun-19,1,2
Shardul Thakur,India,47,20,10,289,28.9,106.61,0,1,47,372.1,65,30.35,5.29,Apr-37,1,0
Marnus Labuschagne,Australia,54,52,4,1726,35.95,83.9,3,11,2,16.0,1,61.0,3.81,01-Jul,0,0
Glenn Maxwell,Australia,136,118,18,3760,37.6,125.24,2,23,99,589.0,65,48.58,5.36,Apr-46,1,0
Mitchell Marsh,Australia,88,78,12,2439,36.95,94.24,2,17,62,438.3,54,36.46,4.48,May-33,0,1
Alex Carey,Australia,83,75,6,2063,29.9,86.6,1,11,0,0.0,0,0.0,0.0,0,0,0
Pat Cummins,Australia,88,26,13,141,10.84,83.43,0,0,88,765.4,141,28.88,5.31,May-70,1,1
Mitchell Starc,Australia,121,34,15,269,14.16,99.26,0,1,121,1076.4,236,22.29,5.13,Jun-28,2,1
Josh Hazlewood,Australia,82,20,9,79,7.18,64.23,0,0,82,679.0,136,26.68,5.34,Jun-52,2,1
Adam Zampa,Australia,94,24,8,202,12.62,76.2,0,0,94,833.5,155,31.1,5.78,May-35,1,1
Marcus Stoinis,Australia,67,57,11,1406,30.56,93.01,1,6,55,357.1,46,39.02,5.03,Mar-16,0,0
Cameron Green,Australia,29,24,6,387,21.5,89.54,0,1,27,180.0,16,44.5,3.95,May-33,0,1
Travis Head,Australia,67,61,3,2444,42.13,103.39,6,15,8,34.0,2,14.5,2.47,Feb-17,0,0
Josh Inglis,Australia,20,18,1,552,32.47,99.28,1,2,0,0.0,0,0.0,0.0,0,0,0
Sean Abbott,Australia,20,9,4,181,36.2,105.22,0,1,20,138.2,26,33.11,6.22,Mar-23,0,0
Jos Buttler,England,176,145,36,4823,44.22,119.46,11,25,3,12.0,1,44.0,3.66,01-May,0,0
Jonny Bairstow,England,112,106,8,4272,43.59,104.78,11,18,0,0.0,0,0.0,0.0,0,0,0
Dawid Malan,England,30,30,2,1443,51.53,96.15,6,7,0,0.0,0,0.0,0.0,0,0,0
Ben Stokes,England,117,103,18,3279,38.58,95.12,4,23,87,657.5,83,42.16,5.31,May-61,1,1
Sam Curran,England,29,23,7,433,27.06,92.14,0,2,29,228.3,35,39.25,6.0,May-48,1,1
Liam Livingstone,England,29,24,6,494,27.44,104.65,0,2,21,114.0,14,40.14,4.93,Mar-16,0,0
Moeen Ali,England,135,113,16,2368,24.43,103.33,3,7,120,922.0,112,50.31,6.1,Apr-46,0,0
Chris Woakes,England,121,84,22,1393,22.47,91.08,0,5,119,911.5,167,30.65,5.61,Jun-45,2,1
Reece Topley,England,29,8,5,38,12.66,79.16,0,0,29,247.0,46,26.56,4.94,Jun-24,1,1
Brydon Carse,England,15,7,4,80,26.66,91.95,0,0,15,114.4,19,34.26,5.67,May-44,0,1
Gus Atkinson,England,5,2,0,24,12.0,114.28,0,0,5,45.0,11,27.0,6.6,Apr-42,0,0
Harry Brook,England,13,13,1,420,35.0,94.81,0,3,0,0.0,0,0.0,0.0,0,0,0
Babar Azam,Pakistan,117,115,12,5729,56.7,88.75,19,32,1,2.0,0,0.0,8.5,0/17,0,0
Imam-ul-Haq,Pakistan,68,66,6,3132,52.2,83.0,9,16,0,0.0,0,0.0,0.0,0,0,0
Fakhar Zaman,Pakistan,83,83,5,3609,46.27,93.33,11,15,2,7.0,1,55.0,7.85,01-Oct,0,0
Mohammad Rizwan,Pakistan,70,61,12,1992,40.65,88.5,2,16,0,0.0,0,0.0,0.0,0,0,0
Iftikhar Ahmed,Pakistan,23,21,6,536,35.73,110.14,1,2,14,57.0,11,38.27,7.38,Mar-50,0,0
Shadab Khan,Pakistan,65,42,10,768,24.0,82.5,0,4,61,537.0,85,41.82,6.61,Apr-27,1,0
Shaheen Afridi,Pakistan,53,10,6,69,17.25,64.48,0,0,53,454.4,104,23.94,5.47,Jun-35,2,1
Haris Rauf,Pakistan,37,9,5,52,13.0,70.27,0,0,37,322.0,69,26.95,5.78,May-18,1,1
Naseem Shah,Pakistan,14,4,2,31,15.5,56.36,0,0,14,113.0,32,22.0,6.23,May-33,0,1
Mohammad Wasim,Pakistan,18,6,3,33,11.0,64.7,0,0,18,144.3,29,30.86,6.19,Apr-36,1,0
Usama Mir,Pakistan,12,6,1,50,10.0,66.66,0,0,12,114.0,17,37.52,5.59,Apr-43,1,0
Tom Latham,New Zealand,143,129,20,4163,38.21,84.34,7,23,0,0.0,0,0.0,0.0,0,0,0
Devon Conway,New Zealand,30,30,1,1192,41.1,88.23,5,6,0,0.0,0,0.0,0.0,0,0,0
Will Young,New Zealand,28,28,0,938,33.5,88.57,2,5,0,0.0,0,0.0,0.0,0,0,0
Glenn Phillips,New Zealand,30,26,3,576,25.04,89.23,0,3,10,61.1,14,40.14,9.18,Mar-37,0,0
Rachin Ravindra,New Zealand,25,21,2,820,43.15,108.71,3,3,24,157.0,22,47.09,6.6,Mar-48,0,0
Mitchell Santner,New Zealand,105,71,25,1263,27.46,88.1,0,4,104,910.2,100,36.89,4.05,May-50,1,1
Daryl Mitchell,New Zealand,39,37,4,1640,49.69,90.91,5,5,12,82.0,12,43.08,6.3,Mar-25,0,0
Matt Henry,New Zealand,82,27,12,269,17.93,81.52,0,0,82,715.3,141,25.55,5.03,May-30,2,1
Lockie Ferguson,New Zealand,65,15,6,57,6.33,68.67,0,0,65,540.0,97,34.11,6.12,May-45,1,1
Trent Boult,New Zealand,114,27,17,198,19.8,72.84,0,0,114,966.2,211,23.4,4.94,Jul-34,4,1
Tim Southee,New Zealand,161,58,23,612,17.48,90.24,0,1,159,1347.3,221,33.0,5.44,Jul-33,3,3
Najmul Hossain Shanto,Bangladesh,39,38,2,1244,34.55,80.89,3,6,0,0.0,0,0.0,0.0,0,0,0
Towhid Hridoy,Bangladesh,25,23,4,617,32.47,85.69,0,5,0,0.0,0,0.0,0.0,0,0,0
Litton Das,Bangladesh,91,86,5,2480,30.62,87.11,5,14,1,2.0,0,0.0,0.0,0/8,0,0
Shakib Al Hasan,Bangladesh,247,229,34,7570,38.82,82.75,10,55,238,1955.5,317,30.7,4.45,May-29,9,3
Mushfiqur Rahim,Bangladesh,265,243,47,7483,38.18,79.31,9,48,0,0.0,0,0.0,0.0,0,0,0
Mehidy Hasan Miraz,Bangladesh,89,66,13,1083,20.43,77.9,1,3,86,799.1,101,36.11,4.56,Apr-25,2,0
Taskin Ahmed,Bangladesh,72,26,10,133,8.31,69.63,0,0,72,627.1,93,38.02,5.63,May-28,1,1
Mustafizur Rahman,Bangladesh,101,33,17,125,7.81,56.31,0,0,101,883.3,158,27.95,5.0,Jun-43,3,1
Hasan Mahmud,Bangladesh,19,7,3,28,7.0,49.12,0,0,19,155.0,29,33.62,6.29,Mar-47,0,0
Shoriful Islam,Bangladesh,25,6,4,29,14.5,74.36,0,0,25,187.0,33,36.27,6.4,Apr-21,1,0
Nasum Ahmed,Bangladesh,12,4,3,9,9.0,52.94,0,0,12,114.3,15,34.46,4.51,Mar-19,0,0
Rahmanullah Gurbaz,Afghanistan,30,30,0,1187,39.56,93.38,5,3,0,0.0,0,0.0,0.0,0,0,0
Ibrahim Zadran,Afghanistan,27,27,3,1180,49.16,80.27,5,5,0,0.0,0,0.0,0.0,0,0,0
Hashmatullah Shahidi,Afghanistan,72,67,11,1998,35.68,66.83,0,16,0,0.0,0,0.0,0.0,0,0,0
Rahmat Shah,Afghanistan,109,106,6,3778,37.78,70.34,5,26,18,83.0,14,43.21,7.28,May-32,0,1
Najibullah Zadran,Afghanistan,92,82,17,2039,31.37,87.35,1,15,3,7.0,2,28.0,8.0,Feb-24,0,0
Azmatullah Omarzai,Afghanistan,22,17,5,504,42.0,94.38,0,3,21,144.0,19,39.42,5.19,Apr-27,1,0
Mohammad Nabi,Afghanistan,158,139,19,3166,26.38,86.8,1,16,151,1237.0,168,33.0,4.48,Apr-30,2,0
Rashid Khan,Afghanistan,101,61,18,1236,28.74,106.26,0,6,97,895.4,191,20.83,4.44,Jul-18,4,4
Mujeeb Ur Rahman,Afghanistan,74,25,14,122,11.09,72.63,0,1,73,639.5,101,26.5,4.18,May-50,2,1
Naveen-ul-Haq,Afghanistan,15,5,4,34,34.0,113.33,0,0,15,125.0,22,34.27,6.03,Apr-42,1,0
Fazalhaq Farooqi,Afghanistan,21,6,4,23,11.5,92.0,0,0,21,162.0,37,26.51,6.04,Apr-34,1,0
Paul Stirling,Ireland,159,156,4,5714,37.59,87.62,13,28,53,238.0,44,37.11,6.86,Jun-55,1,1
Andrew Balbirnie,Ireland,103,98,5,2981,32.05,74.89,8,14,0,0.0,0,0.0,0.0,0,0,0
Harry Tector,Ireland,40,40,3,1683,45.48,83.63,3,13,4,20.0,4,34.5,6.9,Feb-21,0,0
Lorcan Tucker,Ireland,43,42,4,1040,27.36,76.47,1,6,0,0.0,0,0.0,0.0,0,0,0
Curtis Campher,Ireland,39,34,8,991,38.11,86.1,1,6,33,197.4,37,34.27,6.41,Apr-63,1,0
George Dockrell,Ireland,117,79,29,1476,29.52,84.52,0,7,111,774.2,101,38.65,5.04,Apr-24,3,0
Mark Adair,Ireland,41,29,7,366,16.63,107.63,0,2,41,344.3,58,30.34,5.11,Apr-19,1,0
Andy McBrine,Ireland,78,58,14,1149,26.11,72.41,0,6,74,624.2,86,34.77,4.78,May-29,1,1
Barry McCarthy,Ireland,47,25,10,273,18.2,89.77,0,1,47,404.4,68,34.01,5.7,May-46,2,1
Josh Little,Ireland,41,9,4,60,12.0,85.71,0,0,41,351.4,64,32.31,5.87,May-37,1,1
Craig Young,Ireland,53,14,8,60,10.0,66.66,0,0,53,420.3,66,34.19,5.37,May-46,1,1
Shai Hope,West Indies,124,119,22,5313,54.81,75.29,16,26,2,5.0,1,56.0,11.2,Jan-40,0,0
Brandon King,West Indies,34,34,2,1055,32.97,85.49,3,7,0,0.0,0,0.0,0.0,0,0,0
Nicholas Pooran,West Indies,62,60,6,1979,36.65,97.94,3,11,0,0.0,0,0.0,0.0,0,0,0
Rovman Powell,West Indies,55,47,5,1193,28.4,93.94,1,6,7,33.0,3,87.33,7.93,01-Mar,0,0
Keacy Carty,West Indies,22,22,2,508,25.4,74.1,0,3,0,0.0,0,0.0,0.0,0,0,0
Sherfane Rutherford,West Indies,12,9,2,204,29.14,91.07,0,2,1,5.0,0,0.0,0.0,0/24,0,0
Romario Shepherd,West Indies,32,21,10,344,31.27,115.89,0,1,31,234.5,47,32.31,6.46,Apr-31,2,0
Akeal Hosein,West Indies,41,23,7,318,19.87,92.23,0,0,40,364.0,49,34.55,4.65,Apr-39,2,0
Yannic Cariah,West Indies,12,8,3,127,25.4,74.27,0,1,11,88.3,12,40.91,5.54,Mar-34,0,0
Alzarri Joseph,West Indies,66,31,17,346,24.71,81.13,0,0,65,562.2,109,27.28,5.29,May-56,4,1
Gudakesh Motie,West Indies,12,2,2,17,0.0,113.33,0,0,12,116.0,20,26.4,4.55,Apr-23,1,0
Sikandar Raza,Zimbabwe,142,133,14,4153,34.89,87.13,5,29,119,846.3,85,43.34,4.35,May-30,3,2
Craig Ervine,Zimbabwe,120,116,7,3191,29.28,73.23,4,19,0,0.0,0,0.0,0.0,0,0,0
Ryan Burl,Zimbabwe,44,40,10,839,27.96,87.51,0,6,29,198.1,18,55.38,5.03,05-Oct,1,1
Wessly Madhevere,Zimbabwe,39,38,1,1079,29.16,75.41,0,9,23,99.1,13,46.38,6.09,Mar-36,0,0
Innocent Kaia,Zimbabwe,25,25,0,674,26.96,67.16,1,3,0,0.0,0,0.0,0.0,0,0,0
Clive Madande,Zimbabwe,26,23,5,476,26.44,78.27,0,2,0,0.0,0,0.0,0.0,0,0,0
Richard Ngarava,Zimbabwe,41,16,6,97,9.7,69.29,0,0,40,337.1,49,39.1,5.68,Apr-43,2,0
Blessing Muzarabani,Zimbabwe,42,16,10,82,13.66,62.12,0,0,41,330.2,44,39.84,5.31,May-49,1,1
Wellington Masakadza,Zimbabwe,34,15,6,137,15.22,69.19,0,0,32,281.0,34,43.05,5.21,Apr-45,1,0
