Player,Team,Mat,Inns,NO,Runs,Avg,SR,100s,50s,Bowl_Inns,Overs,Wkts,Bowl_Avg,Econ,BBI,4w,5w,Runs_Per_Match,Boundary_Contribution_Score,Batting_Impact,Bowl_StrikeRate,Bowling_Impact,Match_Contribution
Rahmanullah Gurbaz,Afghanistan,55,55,1,1400,25.93,137.25,0,9,0,0.0,0,0.0,0.0,0,0,0,25.454545454545453,450,192150.0,,0.0,1.0
Ibrahim Zadran,Afghanistan,31,30,2,677,24.17,113.57,0,4,0,0.0,0,0.0,0.0,0,0,0,21.838709677419356,200,76886.89,,0.0,0.967741935483871
Mohammad Nabi,Afghanistan,113,98,16,1825,22.25,139.05,0,4,100,348.1,89,28.1,7.18,04-Oct,2,0,16.150442477876105,200,253766.25000000003,23.467415730337084,639.02,1.752212389380531
Najibullah Zadran,Afghanistan,97,84,18,1712,25.93,139.28,0,6,0,0.0,0,0.0,0.0,0,0,0,17.649484536082475,300,238447.36000000002,,0.0,0.865979381443299
Azmatullah Omarzai,Afghanistan,34,26,9,407,23.94,139.04,0,1,28,80.0,20,34.45,8.61,Mar-22,0,0,11.970588235294118,50,56589.28,24.0,172.2,1.588235294117647
Rashid Khan,Afghanistan,85,46,18,370,13.21,134.31,0,0,84,302.4,139,15.74,7.23,05-Mar,2,2,4.352941176470588,0,49694.700000000004,13.053237410071942,1004.97,1.5294117647058822
Fazalhaq Farooqi,Afghanistan,42,9,4,34,6.8,87.17,0,0,42,154.5,55,22.78,8.09,Mar-18,0,0,0.8095238095238095,0,2963.78,16.854545454545455,444.95,1.2142857142857142
Mujeeb Ur Rahman,Afghanistan,43,12,7,44,8.8,97.77,0,0,43,155.3,49,25.24,7.96,Mar-16,0,0,1.0232558139534884,0,4301.88,19.016326530612247,390.04,1.2790697674418605
Naveen-ul-Haq,Afghanistan,33,4,2,9,4.5,90.0,0,0,33,115.4,44,23.86,9.08,Mar-21,0,0,0.2727272727272727,0,810.0,15.736363636363638,399.52,1.121212121212121
Karim Janat,Afghanistan,55,47,10,814,22.0,129.29,0,0,34,101.3,37,30.59,11.14,05-Nov,1,1,14.8,0,105242.06,16.427027027027027,412.18,1.4727272727272727
Gulbadin Naib,Afghanistan,60,49,12,807,21.81,128.88,0,2,39,104.5,27,35.07,9.04,Feb-18,0,0,13.45,100,104006.16,23.22222222222222,244.07999999999998,1.4666666666666666
Sharafuddin Ashraf,Afghanistan,22,9,6,40,13.33,100.0,0,0,22,74.0,23,22.0,6.85,Mar-27,0,0,1.8181818181818181,0,4000.0,19.304347826086957,157.54999999999998,1.4090909090909092
Qais Ahmad,Afghanistan,11,2,0,5,2.5,83.33,0,0,11,35.0,13,23.3,8.66,Mar-25,0,0,0.45454545454545453,0,416.65,16.153846153846153,112.58,1.1818181818181819
Fareed Ahmad,Afghanistan,41,6,2,24,6.0,96.0,0,0,41,146.0,41,30.17,8.46,Mar-14,0,0,0.5853658536585366,0,2304.0,21.365853658536587,346.86,1.146341463414634
Noor Ahmad,Afghanistan,16,4,2,14,7.0,100.0,0,0,16,56.0,13,30.0,6.96,04-Oct,1,0,0.875,0,1400.0,25.846153846153847,90.48,1.25
Najmul Hossain Shanto,Bangladesh,39,39,1,1137,29.13,117.43,0,8,1,1.0,0,0.0,0.0,0,0,0,29.153846153846153,400,133517.91,,0.0,1.0256410256410255
