Player,Team,Mat,Inns,NO,Runs,Avg,SR,100s,50s,Bowl_Inns,Overs,Wkts,Bowl_Avg,Econ,BBI,4w,5w
Rahmanullah Gurbaz,Afghanistan,55,55,1,1400,25.93,137.25,0,9,0,0.0,0,0.0,0.0,0,0,0
Ibrahim Zadran,Afghanistan,31,30,2,677,24.17,113.57,0,4,0,0.0,0,0.0,0.0,0,0,0
Mohammad Nabi,Afghanistan,113,98,16,1825,22.25,139.05,0,4,100,348.1,89,28.1,7.18,10-25,2,0
Najibullah Zadran,Afghanistan,97,84,18,1712,25.93,139.28,0,6,0,0.0,0,0.0,0.0,0,0,0
Azmatullah Omarzai,Afghanistan,34,26,9,407,23.94,139.04,0,1,28,80.0,20,34.45,8.61,3-22,0,0
Rashid Khan,Afghanistan,85,46,18,370,13.21,134.31,0,0,84,302.4,139,15.74,7.23,3-25,2,2
Fazalhaq Farooqi,Afghanistan,42,9,4,34,6.8,87.17,0,0,42,154.5,55,22.78,8.09,3-18,0,0
Mujeeb Ur Rahman,Afghanistan,43,12,7,44,8.8,97.77,0,0,43,155.3,49,25.24,7.96,3-16,0,0
Naveen-ul-Haq,Afghanistan,33,4,2,9,4.5,90.0,0,0,33,115.4,44,23.86,9.08,3-21,0,0
Karim Janat,Afghanistan,55,47,10,814,22.0,129.29,0,0,34,101.3,37,30.59,11.14,11-25,1,1
Gulbadin Naib,Afghanistan,60,49,12,807,21.81,128.88,0,2,39,104.5,27,35.07,9.04,2-18,0,0
Sharafuddin Ashraf,Afghanistan,22,9,6,40,13.33,100.0,0,0,22,74.0,23,22.0,6.85,3-27,0,0
Qais Ahmad,Afghanistan,11,2,0,5,2.5,83.33,0,0,11,35.0,13,23.3,8.66,3-25,0,0
Fareed Ahmad,Afghanistan,41,6,2,24,6.0,96.0,0,0,41,146.0,41,30.17,8.46,3-14,0,0
Noor Ahmad,Afghanistan,16,4,2,14,7.0,100.0,0,0,16,56.0,13,30.0,6.96,10-25,1,0
Najmul Hossain Shanto,Bangladesh,39,39,1,1137,29.13,117.43,0,8,1,1.0,0,0.0,0.0,0,0,0
Towhid Hridoy,Bangladesh,30,28,3,548,21.92,121.12,0,2,0,0.0,0,0.0,0.0,0,0,0
Litton Das,Bangladesh,79,78,5,1720,22.34,128.36,0,10,0,0.0,0,0.0,0.0,0,0,0
Jaker Ali,Bangladesh,9,8,3,116,23.2,116.16,0,0,0,0.0,0,0.0,0.0,0,0,0
Shakib Al Hasan,Bangladesh,122,114,21,2438,26.21,122.11,0,12,121,453.5,146,21.13,6.8,5-20,2,2
Mahmudullah,Bangladesh,135,118,39,2223,28.13,117.86,0,6,60,119.0,39,29.87,9.78,3-18,0,0
Rishad Hossain,Bangladesh,11,6,4,30,15.0,136.36,0,0,11,41.0,13,21.84,6.93,3-22,0,0
Mahedi Hasan,Bangladesh,47,33,12,305,14.52,111.51,0,0,46,158.5,41,24.9,6.42,3-19,0,0
Taskin Ahmed,Bangladesh,61,14,9,49,9.8,118.6,0,0,61,216.0,59,28.61,7.81,4-16,1,0
Mustafizur Rahman,Bangladesh,93,18,11,79,11.29,92.94,0,0,92,343.3,107,22.72,7.07,5-22,1,1
Tanzim Hasan Sakib,Bangladesh,8,2,2,2,0.0,66.66,0,0,8,27.0,9,18.0,6.0,10-25,0,0
Shoriful Islam,Bangladesh,42,6,4,20,10.0,95.23,0,0,42,140.0,52,24.57,9.12,3-21,0,0
