Player,Team,Format,Mat,Inns,NO,Runs,HS,Avg,SR,100s,50s,Bowl_Inns,Overs,Wkts,Bowl_Avg,Econ,BBI,4w,5w
Virat Kohli,India,ODI,302,290,45,14181,183,57.88,93.61,51,74,53,112.2,5,136,6.05,Jan-13,0,0
Rohit Sharma,India,ODI,262,256,34,10709,264,49.12,91.97,31,55,43,88.5,9,64.88,6.57,Feb-27,0,0
Shubman Gill,India,ODI,55,55,8,2775,208,59.04,104.73,8,15,0,,0,,,,0,0
KL Rahul,India,ODI,75,66,11,2624,112,47.71,88.24,6,17,3,20,1,100,5,01-Mar,0,0
Shreyas Iyer,India,ODI,60,55,6,2377,113*,48.51,95.69,4,17,0,,0,,,,0,0
Suryakumar Yadav,India,ODI,37,34,4,773,72,25.76,105.31,0,4,0,,0,,,,0,0
Ishan Kishan,India,ODI,27,23,2,933,210,44.42,101.86,1,7,0,,0,,,,0,0
Hardik Pandya,India,ODI,92,74,13,1758,92*,28.82,93.04,0,11,66,493.1,84,38.54,6.56,Mar-31,0,0
Ravindra Jadeja,India,ODI,197,123,41,2756,87,32.39,84.94,0,13,172,1521.1,220,36.05,4.92,May-36,1,1
Axar Patel,India,ODI,59,33,11,471,64,21.41,106.79,0,2,54,485.5,66,31.92,4.33,Mar-24,0,0
Kuldeep Yadav,India,ODI,103,20,10,153,19*,15.3,69.55,0,0,101,912.5,168,27.69,5.1,Jun-25,1,2
Mohammed Shami,India,ODI,101,20,9,175,25*,15.91,87.06,0,0,100,850.4,195,25.75,5.62,May-69,1,1
Mohammed Siraj,India,ODI,41,7,5,29,9*,14.5,74.35,0,0,41,343.5,70,23.85,5.1,Jun-21,1,1
Jasprit Bumrah,India,ODI,89,16,9,48,10*,9.6,49.48,0,0,89,778,149,24.31,4.64,Jun-19,1,2
Shardul Thakur,India,ODI,47,20,10,289,50,28.9,106.61,0,1,47,372.1,65,30.35,5.29,Apr-37,1,0
Marnus Labuschagne,Australia,ODI,54,52,4,1726,124*,35.95,83.9,3,11,2,16,1,61,3.81,01-Jul,0,0
Glenn Maxwell,Australia,ODI,136,118,18,3760,201*,37.6,125.24,2,23,99,589,65,48.58,5.36,Apr-46,1,0
Mitchell Marsh,Australia,ODI,88,78,12,2439,111,36.95,94.24,2,17,62,438.3,54,36.46,4.48,May-33,0,1
Alex Carey,Australia,ODI,83,75,6,2063,106,29.9,86.6,1,11,0,,0,,,,0,0
Pat Cummins,Australia,ODI,88,26,13,141,36,10.84,83.43,0,0,88,765.4,141,28.88,5.31,May-70,1,1
Mitchell Starc,Australia,ODI,121,34,15,269,52*,14.16,99.26,0,1,121,1076.4,236,22.29,5.13,Jun-28,2,1
Josh Hazlewood,Australia,ODI,82,20,9,79,23*,7.18,64.23,0,0,82,679,136,26.68,5.34,Jun-52,2,1
Adam Zampa,Australia,ODI,94,24,8,202,36,12.62,76.2,0,0,94,833.5,155,31.1,5.78,May-35,1,1
Marcus Stoinis,Australia,ODI,67,57,11,1406,146*,30.56,93.01,1,6,55,357.1,46,39.02,5.03,Mar-16,0,0
Cameron Green,Australia,ODI,29,24,6,387,89*,21.5,89.54,0,1,27,180,16,44.5,3.95,May-33,0,1
Travis Head,Australia,ODI,67,61,3,2444,152,42.13,103.39,6,15,8,34,2,14.5,2.47,Feb-17,0,0
Josh Inglis,Australia,ODI,20,18,1,552,110,32.47,99.28,1,2,0,,0,,,,0,0
Sean Abbott,Australia,ODI,20,9,4,181,69*,36.2,105.22,0,1,20,138.2,26,33.11,6.22,Mar-23,0,0
Jos Buttler,England,ODI,176,145,36,4823,162*,44.22,119.46,11,25,3,12,1,44,3.66,01-May,0,0
Jonny Bairstow,England,ODI,112,106,8,4272,141*,43.59,104.78,11,18,0,,0,,,,0,0
Dawid Malan,England,ODI,30,30,2,1443,140,51.53,96.15,6,7,0,,0,,,,0,0
Ben Stokes,England,ODI,117,103,18,3279,182,38.58,95.12,4,23,87,657.5,83,42.16,5.31,May-61,1,1
Sam Curran,England,ODI,29,23,7,433,95*,27.06,92.14,0,2,29,228.3,35,39.25,6,May-48,1,1
Liam Livingstone,England,ODI,29,24,6,494,95,27.44,104.65,0,2,21,114,14,40.14,4.93,Mar-16,0,0
Moeen Ali,England,ODI,135,113,16,2368,128,24.43,103.33,3,7,120,922,112,50.31,6.1,Apr-46,0,0
Chris Woakes,England,ODI,121,84,22,1393,95*,22.47,91.08,0,5,119,911.5,167,30.65,5.61,Jun-45,2,1
Reece Topley,England,ODI,29,8,5,38,15*,12.66,79.16,0,0,29,247,46,26.56,4.94,Jun-24,1,1
Brydon Carse,England,ODI,15,7,4,80,31*,26.66,91.95,0,0,15,114.4,19,34.26,5.67,May-44,0,1
Gus Atkinson,England,ODI,5,2,0,24,18,12,114.28,0,0,5,45,11,27,6.6,Apr-42,0,0
Harry Brook,England,ODI,13,13,1,420,80,35,94.81,0,3,0,,0,,,,0,0
Babar Azam,Pakistan,ODI,117,115,12,5729,158,56.7,88.75,19,32,1,2,0,,8.5,0/17,0,0
Imam-ul-Haq,Pakistan,ODI,68,66,6,3132,151,52.2,83,9,16,0,,0,,,,0,0
Fakhar Zaman,Pakistan,ODI,83,83,5,3609,210*,46.27,93.33,11,15,2,7,1,55,7.85,01-Oct,0,0
Mohammad Rizwan,Pakistan,ODI,70,61,12,1992,131*,40.65,88.5,2,16,0,,0,,,,0,0
Iftikhar Ahmed,Pakistan,ODI,23,21,6,536,109*,35.73,110.14,1,2,14,57,11,38.27,7.38,Mar-50,0,0
Shadab Khan,Pakistan,ODI,65,42,10,768,86,24,82.5,0,4,61,537,85,41.82,6.61,Apr-27,1,0
Shaheen Afridi,Pakistan,ODI,53,10,6,69,23*,17.25,64.48,0,0,53,454.4,104,23.94,5.47,Jun-35,2,1
Haris Rauf,Pakistan,ODI,37,9,5,52,17,13,70.27,0,0,37,322,69,26.95,5.78,May-18,1,1
Naseem Shah,Pakistan,ODI,14,4,2,31,18*,15.5,56.36,0,0,14,113,32,22,6.23,May-33,0,1
Mohammad Wasim,Pakistan,ODI,18,6,3,33,17*,11,64.7,0,0,18,144.3,29,30.86,6.19,Apr-36,1,0
Usama Mir,Pakistan,ODI,12,6,1,50,20,10,66.66,0,0,12,114,17,37.52,5.59,Apr-43,1,0
Tom Latham,New Zealand,ODI,143,129,20,4163,145*,38.21,84.34,7,23,0,,0,,,,0,0
Devon Conway,New Zealand,ODI,30,30,1,1192,152*,41.1,88.23,5,6,0,,0,,,,0,0
Will Young,New Zealand,ODI,28,28,0,938,120,33.5,88.57,2,5,0,,0,,,,0,0
Glenn Phillips,New Zealand,ODI,30,26,3,576,72,25.04,89.23,0,3,10,61.1,14,40.14,9.18,Mar-37,0,0
Rachin Ravindra,New Zealand,ODI,25,21,2,820,123*,43.15,108.71,3,3,24,157,22,47.09,6.6,Mar-48,0,0
Mitchell Santner,New Zealand,ODI,105,71,25,1263,67*,27.46,88.1,0,4,104,910.2,100,36.89,4.05,May-50,1,1
Daryl Mitchell,New Zealand,ODI,39,37,4,1640,134*,49.69,90.91,5,5,12,82,12,43.08,6.3,Mar-25,0,0
Matt Henry,New Zealand,ODI,82,27,12,269,37*,17.93,81.52,0,0,82,715.3,141,25.55,5.03,May-30,2,1
Lockie Ferguson,New Zealand,ODI,65,15,6,57,11*,6.33,68.67,0,0,65,540,97,34.11,6.12,May-45,1,1
Trent Boult,New Zealand,ODI,114,27,17,198,39*,19.8,72.84,0,0,114,966.2,211,23.4,4.94,Jul-34,4,1
Tim Southee,New Zealand,ODI,161,58,23,612,55,17.48,90.24,0,1,159,1347.3,221,33,5.44,Jul-33,3,3
Najmul Hossain Shanto,Bangladesh,ODI,39,38,2,1244,117,34.55,80.89,3,6,0,,0,,,,0,0
Towhid Hridoy,Bangladesh,ODI,25,23,4,617,92,32.47,85.69,0,5,0,,0,,,,0,0
Litton Das,Bangladesh,ODI,91,86,5,2480,176,30.62,87.11,5,14,1,2,0,,,0/8,0,0
Shakib Al Hasan,Bangladesh,ODI,247,229,34,7570,134*,38.82,82.75,10,55,238,1955.5,317,30.7,4.45,May-29,9,3
Mushfiqur Rahim,Bangladesh,ODI,265,243,47,7483,144,38.18,79.31,9,48,0,,0,,,,0,0
Mehidy Hasan Miraz,Bangladesh,ODI,89,66,13,1083,100*,20.43,77.9,1,3,86,799.1,101,36.11,4.56,Apr-25,2,0
Taskin Ahmed,Bangladesh,ODI,72,26,10,133,38,8.31,69.63,0,0,72,627.1,93,38.02,5.63,May-28,1,1
Mustafizur Rahman,Bangladesh,ODI,101,33,17,125,18*,7.81,56.31,0,0,101,883.3,158,27.95,5,Jun-43,3,1
Hasan Mahmud,Bangladesh,ODI,19,7,3,28,11*,7,49.12,0,0,19,155,29,33.62,6.29,Mar-47,0,0
Shoriful Islam,Bangladesh,ODI,25,6,4,29,16*,14.5,74.36,0,0,25,187,33,36.27,6.4,Apr-21,1,0
Nasum Ahmed,Bangladesh,ODI,12,4,3,9,5*,9,52.94,0,0,12,114.3,15,34.46,4.51,Mar-19,0,0
Rahmanullah Gurbaz,Afghanistan,ODI,30,30,0,1187,151,39.56,93.38,5,3,0,,0,,,,0,0
Ibrahim Zadran,Afghanistan,ODI,27,27,3,1180,162*,49.16,80.27,5,5,0,,0,,,,0,0
Hashmatullah Shahidi,Afghanistan,ODI,72,67,11,1998,97*,35.68,66.83,0,16,0,,0,,,,0,0
Rahmat Shah,Afghanistan,ODI,109,106,6,3778,114,37.78,70.34,5,26,18,83,14,43.21,7.28,May-32,0,1
Najibullah Zadran,Afghanistan,ODI,92,82,17,2039,104,31.37,87.35,1,15,3,7,2,28,8,Feb-24,0,0
Azmatullah Omarzai,Afghanistan,ODI,22,17,5,504,62,42,94.38,0,3,21,144,19,39.42,5.19,Apr-27,1,0
Mohammad Nabi,Afghanistan,ODI,158,139,19,3166,121,26.38,86.8,1,16,151,1237,168,33,4.48,Apr-30,2,0
Rashid Khan,Afghanistan,ODI,101,61,18,1236,60*,28.74,106.26,0,6,97,895.4,191,20.83,4.44,Jul-18,4,4
Mujeeb Ur Rahman,Afghanistan,ODI,74,25,14,122,64*,11.09,72.63,0,1,73,639.5,101,26.5,4.18,May-50,2,1
Naveen-ul-Haq,Afghanistan,ODI,15,5,4,34,20*,34,113.33,0,0,15,125,22,34.27,6.03,Apr-42,1,0
Fazalhaq Farooqi,Afghanistan,ODI,21,6,4,23,9*,11.5,92,0,0,21,162,37,26.51,6.04,Apr-34,1,0
Paul Stirling,Ireland,ODI,159,156,4,5714,177,37.59,87.62,13,28,53,238,44,37.11,6.86,Jun-55,1,1
Andrew Balbirnie,Ireland,ODI,103,98,5,2981,145,32.05,74.89,8,14,0,,0,,,,0,0
Harry Tector,Ireland,ODI,40,40,3,1683,140,45.48,83.63,3,13,4,20,4,34.5,6.9,Feb-21,0,0
Lorcan Tucker,Ireland,ODI,43,42,4,1040,133,27.36,76.47,1,6,0,,0,,,,0,0
Curtis Campher,Ireland,ODI,39,34,8,991,103,38.11,86.1,1,6,33,197.4,37,34.27,6.41,Apr-63,1,0
George Dockrell,Ireland,ODI,117,79,29,1476,91,29.52,84.52,0,7,111,774.2,101,38.65,5.04,Apr-24,3,0
Mark Adair,Ireland,ODI,41,29,7,366,72*,16.63,107.63,0,2,41,344.3,58,30.34,5.11,Apr-19,1,0
Andy McBrine,Ireland,ODI,78,58,14,1149,79*,26.11,72.41,0,6,74,624.2,86,34.77,4.78,May-29,1,1
Barry McCarthy,Ireland,ODI,47,25,10,273,51*,18.2,89.77,0,1,47,404.4,68,34.01,5.7,May-46,2,1
Josh Little,Ireland,ODI,41,9,4,60,17*,12,85.71,0,0,41,351.4,64,32.31,5.87,May-37,1,1
Craig Young,Ireland,ODI,53,14,8,60,17*,10,66.66,0,0,53,420.3,66,34.19,5.37,May-46,1,1
Shai Hope,West Indies,ODI,124,119,22,5313,170,54.81,75.29,16,26,2,5,1,56,11.2,Jan-40,0,0
